smiles	rt
N=C(N)O	429.6
CCN=C(O)CCC(N)C(=O)O	636.5999999999999
Cc1ncc(CO)c(CO)c1O	552.6
CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	63.6
COC(C)C(N)C(=O)O	624.6
N=C(O)Cc1c[nH]c2ccccc12	148.8
O=C(O)C1CCNCC1	660.0
OCCNCCO	681.0
COc1cc(-c2ccc(N)c(OC)c2)ccc1N	87.6
c1c[nH]cn1	621.5999999999999
N=C(O)CCC(N)C(=O)O	774.0
CC(O)C(N)C(=O)O	750.0
NC(CO)C(=O)O	795.0
Oc1ncnc2[nH]cnc12	472.8
NC(CCO)C(=O)O	756.0
O=c1c2ccccc2oc2ccccc12	73.2
NC(Cc1c[nH]c2ccccc12)C(=O)O	606.0
CCC(C)C(N)C(=O)O	582.0
COc1ccc2[nH]cc(CCN)c2c1	573.6
c1cnc2[nH]ccc2c1	104.4
CN(C)c1ccc(C=CC=O)cc1	70.19999999999999
CC(C)CC(N)C(=O)O	570.0
CC(N)C(=O)O	726.0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12	521.4
O=C(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO	757.1999999999999
NC(CS)C(=O)O	712.8000000000001
CC(O)C(=O)O	447.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N=C(C)O)CC2	81.60000000000001
N=C(N)NCCCC(N)C(=O)O	958.2
O=C(O)C1CCCN1	624.0
NCCCCC(N)C(=O)O	954.0
N=C(O)CC(N)C(=O)O	792.0
CN1C=C[C](c2ccccc2)c2ccccc21	721.8
CN1CC(O)=NC1=N	592.1999999999999
N=c1nc(O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1	682.8000000000001
NC(CCC(=O)O)C(=O)O	768.0
Nc1ccc(C(=O)NCC(=O)O)cc1	340.2
NC(CC(=O)O)C(=O)O	813.6
NC(Cc1ccccc1)C(=O)O	565.8
CC(C)C(N)C(=O)O	630.0
NC(Cc1cnc[nH]1)C(=O)O	939.0
NC(Cc1ccc(O)cc1)C(=O)O	672.0
NC(CCC(=O)O)C(=O)O	771.0
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O	558.0
Nc1ccccc1C(=O)CC(N)C(=O)O	585.6
CN(C)Cc1ccccc1	452.4
O=C(O)c1cc(O)c2cccc(O)c2n1	572.4
C(=NC1CCCCC1)=NC1CCCCC1	65.4
C1COCCN1	622.1999999999999
CC(N)(CO)CO	761.4
O=C(O)c1ccc2ccccc2n1	114.0
CSCCC(N)C(=O)O	619.8
O=C(O)c1cccnc1	141.0
Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C	471.0
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O	425.4
NC(Cc1ccc(O)c(O)c1)C(=O)O	763.8000000000001
N=c1nc(O)c2nc[nH]c2[nH]1	588.6
O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O	830.4
N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1	636.0
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O	550.8
N=c1ccnc(O)[nH]1	624.6
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12	393.0
Oc1nc(O)c2nc[nH]c2n1	497.4
N=C(N)NCC(=O)O	768.6
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	466.8
NCCCCC(=O)O	643.2
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O	450.59999999999997
NCCc1c[nH]c2ccccc12	591.5999999999999
COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC	534.6
CC(OP(=O)(O)O)C(N)C(=O)O	871.1999999999999
NC(CCS)C(=O)O	663.6
