smiles	rt
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2	1227.9
O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1	1483.1999999999998
Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2	990.3
O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	1337.55
O=C(O)c1cc(O)cc(O)c1	858.0
O=C(O)c1ccc(O)cc1	1048.8
OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)c(O)c3)c2)C(O)C(O)C1O	1362.0
O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1	1565.4
O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O	930.0
Oc1ccc(C=Cc2cc(O)cc3c2C(c2cc(O)cc(O)c2)C(c2ccc(O)cc2)O3)cc1	2007.6000000000001
OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O	1635.0
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1	1821.0
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23	1812.0
Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1	1462.2
O=c1ccc2cc(O)c(O)cc2o1	1207.8
COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O	1170.0
COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1O	1252.2
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O	2086.8
Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc(O)c2C(c2ccc(O)cc2)C4C2c3cc(O)cc4c3C(c3cc(O)cc(O)c3C2c2ccc(O)cc2)C(c2ccc(O)cc2)O4)cc1	1553.4
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O	1891.8000000000002
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O	1902.0
COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O	1567.8
O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	1875.0
CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O	1881.0
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12	1683.6
COC(=O)c1cc(O)c(O)c(O)c1	1092.0
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12	1853.4
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21	2025.0
O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21	1676.4
O=C(O)C=Cc1ccccc1O	1683.0
COc1cc(C2=C(OC3OC(CO)C(O)C(O)C3O)c3cc(=O)oc4cc(O)cc(c34)O2)cc(OC)c1O	1992.6000000000001
Oc1ccc(C2c3c(O)cc(O)cc3C3C(c4ccc(O)cc4)c4c(O)cc(O)cc4C23)cc1	1555.2
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O	1776.0
Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1	1592.3999999999999
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2	1088.55
COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1	2482.8
O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12	1564.2
O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O	1707.0
O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12	1824.0
O=c1c(OS(=O)(=O)O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	1644.0
O=c1c(OC2OC(C(O)CO)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	1746.0
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O	1746.0
COc1cc(C(=O)O)cc(OC)c1O	1314.0
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O	1516.2
O=C(C=Cc1ccc(O)cc1)OC(C(=O)O)C(O)C(=O)O	1079.3999999999999
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)c(C2OC(CO)C(O)C(O)C2O)c1O	1879.2
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1	2532.0
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O	1716.0
COC1OC(C(=O)O)C(O)C(O)C1O	144.0
COC(=O)C1=COC(O)C2C(CO)=CCC12	1452.0
COc1cc(C2=C(OC3OC(CO)C(O)C(O)C3O)c3cc(C(=O)[O-])[o+]c4cc(O)cc(c34)O2)cc(OC)c1O	1698.0
