smiles	rt
N=C(N)NCCCC(N)C(=O)O	24.778000002
NCCS(=O)(=O)O	26.761000002
N=C(O)NCCCC(N)C(=O)O	27.435
Nc1nc[nH]c2ncnc1-2	31.516000002
Oc1nc(O)c2nc(O)[nH]c2n1	38.592
Oc1ccnc(O)n1	38.254000002
CSCCC(N)C(=O)O	38.592
O=C(O)C1CCC(O)=N1	41.248000002
O=c1nc(O)ccn1C1OC(CO)C(O)C1O	42.259000002
NC(Cc1ccc(O)cc1)C(=O)O	42.933
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	45.328000001999996
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O	50.346
CC(C)CC(N)C(=O)O	47.677000002
CCC(C)C(N)C(=O)O	47.677000002
CC(C(=O)O)C(=O)O	43.984000002
O=C(O)CCCC(=O)O	68.53600000200001
NC(Cc1ccccc1)C(=O)O	78.682000002
O=C(O)CCCCC(=O)O	139.62
NC(Cc1c[nH]c2ccccc12)C(=O)O	151.789000002
O=C(O)CN=C(O)c1ccccc1	203.29500000000002
O=C(O)C=Cc1ccc(O)c(O)c1	209.62000000199998
O=C(O)Cc1ccccc1	215.758000002
O=C(O)CCCCCC(=O)O	208.345999998
O=C(O)C(O)Cc1ccccc1	262.249000002
O=C(O)CCCCCCCC(=O)O	321.204
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	393.35400000000004
CC(CCC(O)=NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	453.937999998
CC(CCC(O)=NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	475.162000002
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	536.475
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	629.454
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C	642.258
CCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C	695.88
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C	719.802
Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C	235.339000002
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	396.388000002
O=C(O)C1CCCN1	28.891000002
Cn1cnc(CC(N)C(=O)O)c1	24.442000002
Nc1ccc(C(=O)O)cc1	116.752000002
Cn1c(=O)c2c(ncn2C)n(C)c1=O	207.37800000000001
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	42.0
N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1	66.0
O=c1nc(O)ccn1C1OC(CO)C(O)C1O	60.0
Nc1ncnc2c1ncn2C1CC(O)C(CO)O1	48.0
Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1O	96.0
COC1C(O)C(CO)OC1n1cnc2c(N)ncnc21	66.0
NC(Cc1ccccc1)C(=O)O	78.0
NC(Cc1ccc(O)cc1)C(=O)O	42.0
NC(Cc1c[nH]c2ccccc12)C(=O)O	144.0
O=C(O)C1Cc2c([nH]c3ccccc23)CN1	186.0
CSCCCCCCCC(N)C(=O)O	276.0
CSCCCCCCCCC(N)C(=O)O	324.0
NC(Cc1ccccc1)C(O)=NCC(=O)O	102.0
NCC(O)=NC(Cc1ccccc1)C(=O)O	138.0
CC(C)CC(N=C(O)C(N)C(C)C)C(=O)O	162.0
CC(C)CC(N)C(=O)N1CCCC1C(=O)O	156.0
CC(C)CC(N)C(O)=NC(Cc1ccc(O)cc1)C(=O)O	168.0
CCC(C)C(N=C(O)C(N)Cc1ccc(O)cc1)C(=O)O	174.0
CC(C)CC(N=C(O)C(N)Cc1ccc(O)cc1)C(=O)O	192.0
CC(C)C(N=C(O)C(N)Cc1ccccc1)C(=O)O	180.0
CC(C)C(N)C(O)=NC(Cc1ccccc1)C(=O)O	198.0
CCC(C)C(N)C(O)=NC(C(=O)O)C(C)CC	186.0
CCC(C)C(N=C(O)C(N)CC(C)C)C(=O)O	198.0
CCC(C)C(N)C(O)=NC(CC(C)C)C(=O)O	204.0
CC(C)CC(N)C(O)=NC(CC(C)C)C(=O)O	216.0
CCC(C)C(N=C(O)C(N)Cc1ccccc1)C(=O)O	228.0
CCC(C)C(N)C(O)=NC(Cc1ccccc1)C(=O)O	234.0
CC(C)CC(N=C(O)C(N)Cc1ccccc1)C(=O)O	245.99999999999997
CC(C)CC(N)C(O)=NC(Cc1ccccc1)C(=O)O	252.0
CS(=O)CCCCCCCCN=C=S	486.0
NCc1c[nH]c2ccccc12	108.0
COc1cccc2[nH]cc(CN)c12	192.0
COn1cc(CN)c2ccccc21	222.0
O=Cc1c[nH]c2cccc(O)c12	288.0
O=Cc1c[nH]c2cccc(O)c12	306.0
O=C(O)c1c[nH]c2ccccc12	282.0
COc1cc(C=CCO)ccc1OC1OC(CO)C(O)C(O)C1O	180.0
COc1cc(C=CCO)cc(OC)c1OC1OC(CO)C(O)C(O)C1O	192.0
COc1cc(CC2COC(c3ccc(O)c(OC)c3)C2CO)ccc1O	336.0
O=c1ccc2cc(O)c(O)cc2o1	204.0
COc1cc2ccc(=O)oc2cc1O	270.0
O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1	174.0
COc1cc2ccc(=O)oc2cc1OC1OC(CO)C(O)C(O)C1O	198.0
