smiles	rt
O=C(O)C(O)Cc1ccc(O)cc1	159.80700000000002
CCC(C)(O)C(=O)O	133.827
CC(C)C(O)C(=O)O	152.677000002
O=C(O)CCc1ccc(O)cc1O	181.296
CC(C)(O)CC(=O)O	97.974
OCC(O)c1ccc(O)c(O)c1	51.462
O=C(O)Cc1c[nH]c2ccc(O)cc12	175.252999998
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O	268.459999998
CC(O)=Nc1c(N)nc(O)n(C)c1=O	39.982999998
CC(C)C(=O)C(=O)O	115.00600000200001
CC(O)C1N=C(O)C2CCCN2C1=O	92.512999998
CC(C)C1N=C(O)C2CCCN2C1=O	186.04500000000002
O=C(O)C(O)c1ccc(O)c(O)c1	49.729999998
O=C(O)C1OC(Oc2ccc(O)cc2)C(O)C(O)C1O	54.579
CS(=O)CCCN=C=S	194.509000002
O=C(Cc1c[nH]c2ccccc12)OC1OC(C(=O)O)C(O)C(O)C1O	207.68899999799999
CC12C=Cc3occc3C1CCC13CC(CCC12)C(O)(CO)C3	228.594
CC(=O)CCC(=O)O	87.663
CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	330.87
C[N+]1(C)CCCC1C(=O)[O-]	32.572000001999996
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	259.321000002
Cn1cnc2c1c(O)nc(=O)n2C	128.53199999999998
C[N+](C)(C)[O-]	28.075999998
CCCCCCCC(=O)OC1OC(C(=O)O)C(O)C(O)C1O	235.25800000200002
Cn1c(O)nc2[nH]c(O)nc2c1=O	76.234000002
Cn1c(O)nc2nc(O)nc(O)c21	64.74300000000001
O=C(OC1OC(C(=O)O)C(O)C(O)C1O)c1c[nH]c2ccccc12	205.256500002
Cn1cnc2nc(O)nc(O)c21	75.262999998
CCCc1oc(CCC(=O)O)c(C(=O)O)c1C	244.74100000200002
Cn1c(=O)nc(O)c2nc[nH]c21	86.763
CN1CC(O)CC1C(=O)O	29.893999998
CN1C(=O)CCC1c1cccnc1	47.563999998
Cn1cnc2c(ncn2C2OC(CO)C(O)C2O)c1=N	97.546999998
Cn1c(O)nc2ncn(C)c2c1=O	153.44699999999997
CC(C)(N)C(=O)O	31.426999998000003
COc1ccc(O)c(C(=O)O)c1	221.692000002
Cc1ccccc1C(O)=NCC(=O)O	204.301000002
N=c1ccn(C2OC(CO)C(O)C2O)c(S)n1	37.150000002
O=C(O)CCc1ccc(O)c(O)c1	183.559000002
NC(CCCC(N)C(=O)O)C(=O)O	26.386999998
Nc1c(O)cccc1C(=O)CC(N)C(=O)O	47.152999998000006
CC(O)CC(=O)O	206.148
CC(CO)C(=O)O	103.150000002
O=C(O)Cc1c[nH]c2ccccc12	218.032999998
Cn1c(=N)ccn(C2OC(CO)C(O)C2O)c1=O	37.150000002
Cn1c(O)nc2c1c(O)nc(=O)n2C	92.94100000200001
CC(O)=Nc1ccc(C(=O)O)cc1	193.921999998
Cc1cc(C(=O)O)ccc1O	207.601000002
O=Cc1ccc(O)cc1	198.24799999799998
O=C(O)CNC(=O)c1ccc(O)cc1	131.416000002
Cc1cn(C2OC(CO)C(O)C2O)c(O)nc1=N	70.92199999799999
COc1cc2c(CCN=C(C)O)c[nH]c2cc1O	203.977000002
C[n+]1cn(C2OC(CO)C(O)C2O)c2[nH]c(=N)nc([O-])c21	41.299999998000004
CNC(C)(C)C(=O)O	31.831999997999997
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O	28.56
C=CCS(=O)CC(N)C(=O)O	38.295
N=C(O)NC(NC(=N)O)C(=O)O	29.454
Cn1cncc1CC(N=C(O)CCN)C(=O)O	26.439
N=C(N)NCCCC(N)C(=O)O	26.1555
NC(CC(=O)O)C(O)=NC(Cc1ccccc1)C(=O)O	160.46299999800002
NCCC(O)=NC(Cc1cnc[nH]1)C(=O)O	26.233999998
CC(C)c1cc2c(c(O)c1O)C13CCCC(C)(C)C1CC2OC3=O	270.865000002
CC(NCCCCC(N)C(=O)O)C(=O)O	27.511000002000003
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	276.37699999800003
NC(CCCCNCC(=O)O)C(=O)O	31.626
COC1=C(OC)C(=O)C(CC=C(C)C)=C(C)C1=O	268.459999998
N=c1ccn(C2OC(CO)C(O)C2O)c(O)n1	31.957000001999997
CC(C)(CO)C(O)C(O)=NCCC(O)=NCCSSCCN=C(O)CCN=C(O)C(O)C(C)(C)CO	206.410999998
OCC(O)C(O)C(O)C(O)CO	28.987000002
CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C	243.11800000200003
OC1=NCCCC1	101.176999998
