smiles	rt
Cn1cnc2c(ncn2C2OC(CO)C(O)C2O)c1=N	666.0
Cn1c(=N)[nH]c2c(ncn2C2OC(CO)C(O)C2O)c1=O	426.0
OCC1OCC(O)C(O)C1O	552.0
NC(CCCC(=O)O)C(=O)O	732.0
O=C(O)CCC(=O)C(=O)O	774.0
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O	426.0
Nc1ccc(C(=O)O)cc1	432.0
O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O	900.0
CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	510.0
CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	630.0
Nc1nc[nH]c2ncnc1-2	396.0
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	372.0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	744.0
N=C(O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N	762.0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O	690.0
N=C(N)NCCCC(N)C(=O)O	1488.0
N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O	852.0
N=C(O)CC(N)C(=O)O	744.0
NC(CC(=O)O)C(=O)O	750.0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	828.0
C[N+](C)(C)CC(=O)[O-]	516.0
O=C(O)CCCCC1SCC2N=C(O)NC21	372.0
C[N+](C)(C)CCCC(=O)[O-]	654.0
CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	372.0
Cn1c(=O)c2c(ncn2C)n(C)c1=O	228.0
C[N+](C)(C)CC(O)CC(=O)[O-]	654.0
N=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)n1	882.0
C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OCC1OC(n2ccc(=N)nc2O)C(O)C1O	780.0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	234.0
O=C(O)C=C(CC(=O)O)C(=O)O	930.0
CC(O)(CC(=O)O)C(=O)O	756.0
O=C(O)CC(O)(CC(=O)O)C(=O)O	930.0
N=C(O)NCCCC(N)C(=O)O	780.0
N=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(O)n1	792.0
