,smiles,rt
0,CCOC(=O)c1noc2nc(C)nc(NCCc3ccc(Cl)cc3)c12,1205.4
1,CC1=C(c2ccc(C)cc2)S(=O)(=O)N=C1N1CCC(N=C(O)Cc2ccsc2)CC1,867.1
2,CCOc1ccc(N2CCCCn3c2nc2c3c(=O)n(CCC(C)C)c(=O)n2C)cc1,1149.6
3,CCOC(=O)c1c(S(=O)(=O)N2CCC(C(O)=NCCC3=CCCCC3)CC2)c(C)n(C)c1C,895.6
4,CCCN1CCN(c2ncc(C(=O)Nc3ccc(OCC)cc3)c(=N)[nH]2)CC1,616.7
5,COc1ccc(OC)c(N=C(O)N2C[C@@H](F)C[C@H]2C(=O)N2CCc3ccccc3C2)c1,825.9
6,Cc1cc(C(O)=Nc2ccc(N3CCOCC3)cc2)nc2cc(-c3ccccn3)nn12,801.5
7,CCCCn1cc(S(=O)(=O)Nc2ccc(F)cc2)c2cccnc21,936.5
8,OC(Cc1ccccc1)=NCc1nc(-c2ccc3oc(-c4ccccc4)nc3c2)no1,996.6
9,Cc1cccc(-c2nnc(-c3nc(=NCc4ccc(C)o4)c4ccccc4[nH]3)o2)c1,670.4
10,Cc1ccc2nc(-c3ccccc3)c(Nc3ccc(Cl)cc3)n2c1,755.0
11,Cc1ccc(-c2noc(Cn3nc(-c4ccccc4)ccc3=O)n2)cc1,1076.6
12,O=C(Cc1c(F)cccc1Cl)N1C[C@@H]2C[C@H](N=C(O)c3cccnc3)[C@H]1C2,694.7
13,CCCN=C(O)N1C[C@H](c2nc(-c3ccc(F)cc3)no2)C2(CCOCC2)C1,793.2
14,CCOC(=O)c1ccccc1N=C(O)Cn1nc2ccc(-c3ccc(Cl)cc3)nn2c1=O,989.4
15,COc1ccc2nc(CN3CCN(S(=O)(=O)c4cccs4)CC3)[nH]c2c1,584.1
16,CCOc1cccc(-c2noc(-c3nn(-c4cccc(F)c4)ccc3=O)n2)c1,978.2
17,COc1ccc(N2C[C@H](c3nnc(N=C(O)c4ccccc4Br)o3)CC2=O)cc1,702.7
18,O=C(c1ccccc1F)N1CCC(C(=O)N2CCc3ccccc32)CC1,821.9
19,CCNC(=O)c1cc(-c2ccccc2)[nH]n1,668.4
20,CCN=C(O)Nc1ccc2c(c1)CN(Cc1ccc(F)cc1F)CCO2,611.4
21,COc1ccc(-c2nn(CCCC(O)=NCCc3ccc(C)cc3)c(=O)c3noc(C)c23)cc1,950.1
22,Cc1ccc(CNS(=O)(=O)c2ccc3c(c2)C(=O)N(C)c2ncccc2O3)cc1,932.0
23,Cc1ccc(-c2ccc(N3CCC[C@H](C(=O)N4CCN(C(C)C)CC4)C3)nn2)cc1C,622.9
24,CS(=O)(=O)N(Cc1ccncc1)C1CN(C(=O)c2ccc3ncccc3c2)C1,698.1
25,O=C(c1cccc(F)c1)N1CCC(C(O)=Nc2nc3ccccc3s2)CC1,821.1
