Unnamed: 0,smiles,rt,prediction
6628,CN1C(=O)c2ccccc2Sc2ccc(N=C(O)N3CCC(C(=N)O)CC3)cc21,1429.6,634.59894
4411,COc1ccc(C(=O)N2c3nc(-c4ccccc4)nn3C3(CCCCC3)[C@@H]3CCCC[C@@H]32)cc1OC,1425.0,701.1042
2122,COC(=O)c1cnc(N2CCN(c3cccc(Cl)c3)CC2)c2ccccc12,1350.4,648.37787
4222,Cc1cc(C)c(N=C(O)[C@H]2CCCN(c3nc4ccccc4nc3C(F)(F)F)C2)c(C)c1,700.8,1257.3142
5977,CCCN(C(=O)c1ccc(C)cc1)c1nc(-c2ccccc2)cs1,809.1,1365.0009
667,Cc1ccc(N=C(O)N2CCC[C@H]2c2nc(-c3ccccc3C)no2)c(Cl)c1,610.1,1165.4083
2662,CCc1nc2cc(-c3noc(C4(c5ccc(OC)cc5)CC4)n3)ccc2o1,690.5,1205.3992
302,O=C(Nc1ccc2c(c1)OCO2)c1c(O)c2cccnc2n(-c2ccccc2)c1=O,662.9,1167.3466
5461,C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1099.8,610.0695
4020,CCOC(=O)c1sc(N=C(O)C(C)(C)C)nc1-c1ccccc1,592.1,1064.6003
3144,Cc1sc2ccn(C)c(=O)c2c1C(O)=NC1CCN(Cc2ccccc2)CC1,1034.4,576.9364
1844,CC(C)=CCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,665.5,1118.0734
7342,COc1ccc(N=C(O)Cn2c(N3CCOCC3)nc(C)cc2=O)cc1Cl,1123.6,677.8057
6784,Cc1cc(C)cc(N=C(O)Cn2ccc3ccc(-c4nnc(C)o4)cc32)c1,1302.8,865.1016
154,Fc1ccc(-c2nc(-c3cn(-c4ccccc4)nn3)no2)cc1,607.2,1044.5665
4899,O=S1(=O)C[C@H](N2CCN(c3ccccn3)CC2)[C@@H](S(=O)(=O)c2ccc(F)cc2)C1,1044.0,612.7981
5767,Cc1ccc2nc(-c3ccccc3NC(=O)c3ccc(Br)o3)[nH]c2c1,1138.7,714.686
3483,CCOc1ccc(-c2cc3c(=O)n(Cc4nc(-c5ccc(C)cc5)no4)ncn3n2)cc1,783.8,1203.5808
